date,period,forecast_eps,actual_eps
2/3/2015,1,1.08,1.27
5/5/2015,2,1.11,1.23
8/4/2015,3,1.39,1.45
11/5/2015,4,1.17,1.2
2/9/2016,5,1.44,1.63
5/10/2016,6,1.4,1.36
8/9/2016,7,1.61,1.62
11/10/2016,8,1.15,1.1
2/7/2017,9,1.48,1.55
5/9/2017,10,1.45,1.5
8/8/2017,11,1.53,1.58
11/9/2017,12,1.12,1.07
2/6/2018,13,1.62,1.89
5/8/2018,14,1.68,1.84
8/7/2018,15,1.97,1.87
11/8/2018,16,1.31,1.48
2/5/2019,17,1.57,1.84
5/8/2019,18,1.59,1.61
8/6/2019,19,1.76,1.35
11/7/2019,20,0.95,1.07
2/4/2020,21,1.43,1.53
5/5/2020,22,0.83,0.6
8/4/2020,23,-0.43,0.08
11/12/2020,24,-0.68,-0.2
2/11/2021,25,-0.45,0.32
5/13/2021,26,0.29,0.79
8/12/2021,27,0.57,0.8
11/10/2021,28,0.5,0.37
2/9/2022,29,0.57,1.06
5/11/2022,30,1.2,1.08
8/10/2022,31,0.94,1.09
11/8/2022,32,0.5,0.3
2/8/2023,33,0.69,0.99
5/10/2023,34,0.89,0.93
8/9/2023,35,0.99,1.03
11/8/2023,36,0.67,0.82
2/7/2024,37,0.97,1.22
5/7/2024,38,1.12,1.21
8/7/2024,39,1.2,1.39
11/14/2024,40,1.09,1.14
