period,month,total_units
1,Jan,1091663.354
2,Feb,983099.1319
3,Mar,922851.7481
4,Apr,929093.9548
5,May,974747.5636
6,Jun,835824.344
7,Jul,843919.8124
8,Aug,1041069.721
9,Sep,1182406.085
10,Oct,1187143.413
11,Nov,1448589.299
12,Dec,1760399.769
13,Jan,1251940.671
14,Feb,1009316.126
15,Mar,1000165.988
16,Apr,958894.5373
17,May,946488.2762
18,Jun,945604.305
19,Jul,826478.3445
20,Aug,1272819.639
21,Sep,1314640.241
22,Oct,1319292.313
23,Nov,1683622.325
24,Dec,1869425.936
25,Jan,1180569.986
26,Feb,1018310.24
27,Mar,1067223.113
28,Apr,1207515.63
29,May,1130827.792
30,Jun,1050081.038
31,Jul,968188.8375
32,Aug,1392564.406
33,Sep,1415791.623
34,Oct,1452219.318
35,Nov,1788747.011
36,Dec,2060165.763
